,0,1,id,year,place,printer,initial
242,10.405995,-44.48561,1940,1478,Venice,"Renner, Franz","1940_sabbioneta_sphaera_1478_p13,144,733,170,191.jpg"
243,2.5959773,-20.742516,2105,1560,Frankfurt (Main),"Braubach, Peter","2105_beyer_quaestiones_1560_p78,198,854,219,231.jpg"
244,-51.82164,18.051105,2255,1587,Venice,"Franceschi, Francesco de","2255_fine_opere_1587_p775,37,481,306,316.jpg"
245,-49.670235,11.890473,1821,1602,Saint Gervais,"Crispin, Samuel","1821_clavius_commentarius_1602_p13,103,933,391,408.jpg"
246,-29.1237,-59.513145,1697,1548,Seville,"León, Juan de","1697_sacrobosco_tractado_1548_p173,437,264,445,445.jpg"
247,-25.63305,-42.35241,1831,1534,Paris,"Colines, Simon de","1831_mercator_textus_1534_p68,426,365,291,266.jpg"
248,-57.96621,20.815891,1814,1603,Venice,"Ciotti, Giovanni Battista","1814_clavius_commentarius_1603_p37,149,754,460,424.jpg"
249,5.315445,1.8958458,1919,1579,Venice,Company Giovanni Varisco & compagni,"1919_piccolomini_sfera_1579_p48,125,797,286,282.jpg"
250,67.466995,-37.279247,1869,1527,Paris,"Colines, Simon de","1869_lattes_sphaera_1527_p47,89,294,89,98.jpg"
251,43.299538,-20.777828,1963,1608,Paris,"Denise Cavellat, Widow of Arnold Sittart","1963_sacrobosco_sphaera_1608_p201,254,1039,166,169.jpg"
252,16.153454,-51.22404,2280,1556,Seville,"Alvares, António","2280_cortes_breve_1556_p105,188,791,172,166.jpg"
253,-8.370967,4.0828123,2255,1587,Venice,"Franceschi, Francesco de","2255_fine_opere_1587_p47,144,552,302,336.jpg"
254,-63.826805,-13.124034,1842,1535,Salamanca,"Castañeda, Rodrigo de","1842_espinosa_philosophia_1535_p119,2711,664,372,367.jpg"
255,-39.700005,-12.202311,1910,1537,Lisbon,"Gaillard, German","1910_sacrobosco_tratado_1537_p89,87,2577,393,416.jpg"
256,-9.907003,11.176007,1755,1607,Saint Gervais,"Crispin, Samuel","1755_clavius_commentarius_1607_p496,778,1357,313,350.jpg"
257,-26.329983,-20.225533,1727,1567,Valladolid,"Ghemart, Adrián","1727_sacrobosco_sphaera_1567_p150,844,1941,821,841.jpg"
258,-29.595701,30.970932,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p662,436,1444,573,522.jpg"
259,-18.118822,-39.78815,1807,1581,Rome,Company Francesco Zanetti & Domenico Basa,"1807_clavius_sphaeram_1581_p8,149,433,247,252.jpg"
260,-33.281673,-60.993088,1697,1548,Seville,"León, Juan de","1697_sacrobosco_tractado_1548_p213,388,1481,429,402.jpg"
261,-53.426205,-26.575481,1934,1551,Antwerp,"Richard, Jean","1934_sacrobosco_sphaera_1551_p5,140,900,422,435.jpg"
262,30.199078,45.56002,1659,1518,Venice,Company Heirs of Ottaviano Scoto I.,"1659_sacrobosco_sphera_1518_p26,2280,4797,447,441.jpg"
263,35.80884,4.165491,1963,1608,Paris,"Denise Cavellat, Widow of Arnold Sittart","1963_sacrobosco_sphaera_1608_p73,249,1277,184,184.jpg"
264,10.480398,26.072472,2265,1521,Sine loco,Anonymous_SineLoco_[1526]_S,"2265_nunes_astronomici_1526_p6,727,1538,503,451.jpg"
265,-72.5711,2.8642383,1955,1561,Paris,"Cavellat, Guillaume","1955_Sphaera_Comp_Cavellat_1561_p121,1260,1657,708,715.jpg"
266,-56.561012,-31.98076,2255,1587,Venice,"Franceschi, Francesco de","2255_fine_opere_1587_p755,51,1341,481,527.jpg"
267,-25.8308,25.867775,1746,1593,Lyon,"Julliéron, Guichard","1746_sacrobosco_christophori_1593_p32,617,2148,540,548.jpg"
268,-30.981577,22.481058,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p1200,602,3164,601,576.jpg"
